Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Torch Is Passed: A Harding Family Story,19.09,16,One,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,https://books.toscrape.com//media/cache/33/e5/33e507172541628acfd421503196b578.jpg,4eed62cf5f8d8edf,Add a comment
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,16,Four,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,https://books.toscrape.com//media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,31075275518532d7,Add a comment
The Art Forger,40.76,16,Three,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,https://books.toscrape.com//media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,80cfab6bcff3a244,Add a comment
On a Midnight Clear,14.07,16,Three,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,https://books.toscrape.com//media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,b757c0c361e689ce,Add a comment
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,16,Two,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,https://books.toscrape.com//media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg,228f74b74f3a08ae,Add a comment
"Shobu Samurai, Project Aryoku (#3)",29.06,15,Three,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,https://books.toscrape.com//media/cache/ae/0c/ae0ccc307568b6d7699786411f3cbcc4.jpg,0c27e6c3744fc14b,Add a comment
Modern Romance,28.26,15,Five,https://books.toscrape.com/catalogue/modern-romance_820/index.html,https://books.toscrape.com//media/cache/28/78/2878538a1039d9c4649110499a1393fb.jpg,caf4fe9311f1dc59,Add a comment
The White Queen (The Cousins' War #1),25.91,14,Five,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html,https://books.toscrape.com//media/cache/72/d8/72d861617b6d3aababe6e61e8d3c1056.jpg,6875c5657661b2fb,Add a comment
The Song of Achilles,37.40,14,Five,https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html,https://books.toscrape.com//media/cache/66/f7/66f79b76d6c6b64fcc8110515c454e09.jpg,e88fb1c9397cfb27,Add a comment
The Immortal Life of Henrietta Lacks,40.67,14,Two,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html,https://books.toscrape.com//media/cache/94/ac/94ac87da7b40853013093f08356efa3b.jpg,f72f61ad6a5f12ed,Add a comment
The Dovekeepers,48.78,14,One,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html,https://books.toscrape.com//media/cache/8f/3f/8f3f4d67e30a8129577ccc4664998345.jpg,3d76bc83c6b644c9,Add a comment
More Than Music (Chasing the Dream #1),37.61,14,Two,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,https://books.toscrape.com//media/cache/3f/e7/3fe7073a5caac81929524d2d9488f928.jpg,47d47155e89c8be7,Add a comment
Code Name Verity (Code Name Verity #1),22.13,14,Four,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html,https://books.toscrape.com//media/cache/f5/58/f55886d1bf600529a35e1bd932c78ca0.jpg,33a3e0e3ffde0dcd,Add a comment
Cell,20.29,14,Four,https://books.toscrape.com/catalogue/cell_674/index.html,https://books.toscrape.com//media/cache/0b/97/0b97282ed82b771ed328e05386a84adb.jpg,bfbb54bc8cdeed2b,Add a comment
Angels Walking (Angels Walking #1),34.20,14,Two,https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html,https://books.toscrape.com//media/cache/50/0e/500eeb810e940424827580574e46852c.jpg,1fbb5f786e53a0ce,Add a comment
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,14,Two,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,https://books.toscrape.com//media/cache/9b/20/9b2076ce7414103a093ce2459d089969.jpg,c1379d3744f1dd2c,Add a comment
A People's History of the United States,40.79,14,Two,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html,https://books.toscrape.com//media/cache/75/20/75200336c141156746000f7055df344a.jpg,1ad06aed9349af46,Add a comment
A Brush of Wings (Angels Walking #3),55.51,14,One,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html,https://books.toscrape.com//media/cache/4d/16/4d163d43cb4aa624e599330a39abace5.jpg,01a177623cce9596,Add a comment
Rook,37.86,13,Four,https://books.toscrape.com/catalogue/rook_647/index.html,https://books.toscrape.com//media/cache/55/33/5533595a623c3bb947c4a5171fc2df08.jpg,44d97b6707dae3f0,Add a comment
The Midnight Watch: A Novel of the Titanic and the Californian,26.20,12,One,https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html,https://books.toscrape.com//media/cache/97/3a/973a2c3462a18fc90d3b9662d959df37.jpg,14e44163678e24dc,Add a comment
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,12,Four,https://books.toscrape.com/catalogue/the-gray-rhino-how-to-recognize-and-act-on-the-obvious-dangers-we-ignore_638/index.html,https://books.toscrape.com//media/cache/9f/25/9f255826f354776dda9afbd5576a7add.jpg,3063c7e95d0bf76f,Add a comment
The Children,11.88,12,Three,https://books.toscrape.com/catalogue/the-children_633/index.html,https://books.toscrape.com//media/cache/d8/03/d803ab341d3020a3bb280d6135e4ae65.jpg,64fd010bf8d15096,Add a comment
One with You (Crossfire #5),15.71,12,Four,https://books.toscrape.com/catalogue/one-with-you-crossfire-5_626/index.html,https://books.toscrape.com//media/cache/b8/29/b829181ae95c8f020c1ad3273192de30.jpg,81ef44fcc5f454df,Add a comment
Without Shame,48.27,9,Five,https://books.toscrape.com/catalogue/without-shame_580/index.html,https://books.toscrape.com//media/cache/90/86/9086ca3d1d5c4059beb7dcf762926e1e.jpg,ab60e6f5a63e1cfb,Add a comment
