Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,Four,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com//media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,2597b5a345f45e1b,Business
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,15,Five,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,https://books.toscrape.com//media/cache/d0/77/d077a30042df6b916bfc8d257345c69e.jpg,3bebf34ee9330cbd,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,15,Three,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,https://books.toscrape.com//media/cache/82/93/82939ca78da0b724f16ec814849514fd.jpg,56e4f9eab2e8e674,Business
Shoe Dog: A Memoir by the Creator of NIKE,23.99,15,Two,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,https://books.toscrape.com//media/cache/19/aa/19aa1184a3565b1dae6092146018e109.jpg,0e0dcc3339602b28,Business
Made to Stick: Why Some Ideas Survive and Others Die,38.85,14,Five,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,https://books.toscrape.com//media/cache/e2/2e/e22e4a82d97f9f0689d5295a98f5dcff.jpg,b96fc7a0ea7d4b45,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,12,One,https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html,https://books.toscrape.com//media/cache/2d/fd/2dfdc52bcdbd82dee50372bc46c83e15.jpg,8976d9161c027142,Business
The Art of Startup Fundraising,21.00,11,Three,https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html,https://books.toscrape.com//media/cache/b3/7b/b37be83183f1dcb759d92bda8f8998a4.jpg,1c584f82a7a1c4f0,Business
Born for This: How to Find the Work You Were Meant to Do,21.59,11,Five,https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html,https://books.toscrape.com//media/cache/aa/67/aa677a97ecdcbbde7471f1c90ed0cf6f.jpg,816180220e8cb419,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,8,One,https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html,https://books.toscrape.com//media/cache/11/2c/112c55a6bcd401c3bd603f5ddb2e6b82.jpg,a2308a936e898d48,Business
"Rich Dad, Poor Dad",51.74,7,One,https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html,https://books.toscrape.com//media/cache/18/f4/18f45d31e3892fee589e23f15d759ee3.jpg,8486f61aa81a3daa,Business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,Three,https://books.toscrape.com/catalogue/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html,https://books.toscrape.com//media/cache/39/f1/39f167dff90d7f84f5c8dc5e05d4051b.jpg,70c7c3ca7f9b2728,Business
Rework,44.88,3,Two,https://books.toscrape.com/catalogue/rework_212/index.html,https://books.toscrape.com//media/cache/54/10/5410a58193e2373c04b3021ade78a82b.jpg,8e9dd8431170c09e,Business
