Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Secret Garden,15.08,5,Four,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html,https://books.toscrape.com//media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg,abbb492978ff656d,Classics
The Metamorphosis,28.58,5,One,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,https://books.toscrape.com//media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg,93379e3a2072a01b,Classics
The Pilgrim's Progress,50.26,4,Two,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,https://books.toscrape.com//media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg,6053ddf69c967d5f,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,4,Two,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,https://books.toscrape.com//media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg,6587f46697fc4443,Classics
Little Women (Little Women #1),28.07,4,Four,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,https://books.toscrape.com//media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg,deda806b68b0aa11,Classics
Gone with the Wind,32.49,4,Three,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,https://books.toscrape.com//media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg,23310ce84d3c9f85,Classics
Candide,58.63,4,Three,https://books.toscrape.com/catalogue/candide_316/index.html,https://books.toscrape.com//media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg,2798974abc8a58a8,Classics
Animal Farm,57.22,4,Three,https://books.toscrape.com/catalogue/animal-farm_313/index.html,https://books.toscrape.com//media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg,1451b55e5e56bb89,Classics
Wuthering Heights,17.73,3,Three,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html,https://books.toscrape.com//media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg,5a7ff9aaa3168878,Classics
The Picture of Dorian Gray,29.70,3,Two,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,https://books.toscrape.com//media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg,b9f6305a3d650e2c,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,3,Four,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,https://books.toscrape.com//media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg,cad70d6ffd53912f,Classics
Beowulf,38.35,3,Two,https://books.toscrape.com/catalogue/beowulf_126/index.html,https://books.toscrape.com//media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg,3fb69f34e178d494,Classics
And Then There Were None,35.01,3,Two,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,https://books.toscrape.com//media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg,cfe350b20d23b02b,Classics
The Story of Hong Gildong,43.19,1,Four,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,https://books.toscrape.com//media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg,32d035df92ab9080,Classics
The Little Prince,45.42,1,Two,https://books.toscrape.com/catalogue/the-little-prince_72/index.html,https://books.toscrape.com//media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg,1aeca7d078d57deb,Classics
Sense and Sensibility,37.46,1,One,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,https://books.toscrape.com//media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg,35e44170702139a4,Classics
Of Mice and Men,47.11,1,Two,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,https://books.toscrape.com//media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg,39592d9d72e717c4,Classics
Emma,32.93,1,Two,https://books.toscrape.com/catalogue/emma_17/index.html,https://books.toscrape.com//media/cache/09/63/09638baaef52f03827c215029c632a13.jpg,2e69730561ed70ad,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,One,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,https://books.toscrape.com//media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg,cd2a2a70dd5d176d,Classics
