Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,Three,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com//media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,e72a5dfc7e9267b2,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,19,Four,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com//media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,e10e1e165dc8be4a,Default
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,Two,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com//media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,0312262ecafa5a40,Default
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,19,Three,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com//media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,c7d160c2c0de586f,Default
Aladdin and His Wonderful Lamp,53.13,19,Three,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com//media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,904208d6aa64b655,Default
Penny Maybe,33.29,18,Three,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com//media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,668fe56b17cfcd4f,Default
Maude (1883-1993):She Grew Up with the country,18.02,18,Two,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com//media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,094b269567e1c300,Default
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,16,Five,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com//media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,8c9e6bf2467d740d,Default
Soul Reader,39.58,16,Two,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com//media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,e6af5bf1163c1151,Default
Bossypants,49.46,16,Two,https://books.toscrape.com/catalogue/bossypants_883/index.html,https://books.toscrape.com//media/cache/27/d2/27d20361745ec2f7be668b18a4da29da.jpg,74baabfc8fd84b38,Default
A World of Flavor: Your Gluten Free Passport,42.95,16,One,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,https://books.toscrape.com//media/cache/78/2e/782e315667ec50759b8603527ee33dec.jpg,70ed59f194b3c556,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,16,Five,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,https://books.toscrape.com//media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg,8a380641491d43ed,Default
Tracing Numbers on a Train,41.60,15,Three,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,https://books.toscrape.com//media/cache/06/a6/06a6cfcf89afd1601cbba1a16cda57fb.jpg,d7d6d50c1e3d0b81,Default
Thirteen Reasons Why,52.72,15,One,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,https://books.toscrape.com//media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg,bc2a85fd35fdc7bd,Default
The Secret (The Secret #1),27.37,15,Four,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,https://books.toscrape.com//media/cache/4e/0f/4e0f05ae01d8fb6bd0d3901edd06de16.jpg,961f18db4f138211,Default
