Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Unicorn Tracks,18.78,16,Three,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com//media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,7ae099f3898e0209,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,16,Three,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com//media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,c849f0b2f5d6a742,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),13.34,16,Five,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com//media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,0e691eda369f4e09,Fantasy
Masks and Shadows,56.40,16,Two,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,https://books.toscrape.com//media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,fa9610a50a1bf149,Fantasy
Crown of Midnight (Throne of Glass #2),43.29,16,Three,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,https://books.toscrape.com//media/cache/66/25/6625e3bbb050de3e42a0c302c0d69f1f.jpg,7267864328ae8b9d,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,16,Two,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,https://books.toscrape.com//media/cache/06/18/061811c5845d0e13bc04b2a755f0830f.jpg,6d5300b2d8f37e07,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,16,One,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,https://books.toscrape.com//media/cache/c0/88/c08816960890396213a423941af65b8f.jpg,01d2001ac1e6f8a3,Fantasy
Throne of Glass (Throne of Glass #1),35.07,15,Three,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,https://books.toscrape.com//media/cache/32/d6/32d6aa560e8ddf2a4da1526b95d4c7ab.jpg,590a9cccf7db9f7d,Fantasy
The Glittering Court (The Glittering Court #1),44.28,15,One,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,https://books.toscrape.com//media/cache/3e/0b/3e0b16851bec08b6cbf78d5f64af9114.jpg,2dbb7ec08cdd7f3c,Fantasy
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,15,One,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,https://books.toscrape.com//media/cache/e2/60/e260b008b7ea7970562295b7bc64b0cb.jpg,4ce91d31c1e57c33,Fantasy
The Star-Touched Queen,46.02,14,Five,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html,https://books.toscrape.com//media/cache/53/5e/535e2be0b423797c2cdc7d98882c820a.jpg,1528279aec1f3dce,Fantasy
The Hidden Oracle (The Trials of Apollo #1),52.26,14,Two,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html,https://books.toscrape.com//media/cache/b4/67/b467a4f01ca6ae8464b9425a156c7c32.jpg,992974ba6a0536ea,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),44.73,14,Four,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,https://books.toscrape.com//media/cache/9a/33/9a333c4a06ce187c5c9d2f5969ddcac2.jpg,dc6f688b82e42a5b,Fantasy
Island of Dragons (Unwanteds #7),29.65,14,One,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,https://books.toscrape.com//media/cache/75/b9/75b99691594fde72ccb1831624cfeff6.jpg,2b52334fab158861,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,14,Five,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,https://books.toscrape.com//media/cache/8f/80/8f8074d9f035c2a0ef8595ad89f7bcc8.jpg,3c6fe637a0180b01,Fantasy
City of Glass (The Mortal Instruments #3),56.02,14,Four,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html,https://books.toscrape.com//media/cache/00/08/0008e65aa431ed3625ad3a4352f8e90d.jpg,966ebb738e0f9d9b,Fantasy
