Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Soumission,50.10,20,One,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com//media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,6957f44c3847a760,Fiction
Private Paris (Private #10),47.61,17,Five,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com//media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,b12b89017878a60d,Fiction
"We Love You, Charlie Freeman",50.27,16,Five,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com//media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,8d455c7539795d2a,Fiction
Thirst,17.27,16,Five,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com//media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,709822d0b5bcb7f4,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,16,Three,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com//media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,d01ac97e2b8947c2,Fiction
Tuesday Nights in 1980,21.04,15,Two,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,https://books.toscrape.com//media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg,b8736690cf263a3c,Fiction
The Vacationers,42.15,15,Four,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,https://books.toscrape.com//media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,fd3a622648667296,Fiction
The Regional Office Is Under Attack!,51.36,15,Five,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,https://books.toscrape.com//media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,0651062381f0636a,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,15,Five,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,https://books.toscrape.com//media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,edb3097e71330040,Fiction
The Time Keeper,27.88,14,Five,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html,https://books.toscrape.com//media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg,e9906e2f0d189745,Fiction
