Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Tipping the Velvet,53.74,20,One,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com//media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,90fa61229261140a,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,16,Three,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com//media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,9beb96a2300109d7,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,16,Five,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com//media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,3a6fb983e2554023,Historical Fiction
The House by the Lake,36.95,15,One,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,https://books.toscrape.com//media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,9287e238d7c3b06e,Historical Fiction
Mrs. Houdini,30.25,15,Five,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,https://books.toscrape.com//media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,a40723994f715420,Historical Fiction
The Marriage of Opposites,28.08,14,Four,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,https://books.toscrape.com//media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,52cf2a5933ec5d8f,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,14,Three,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,https://books.toscrape.com//media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,de4b403cb629a29f,Historical Fiction
"Love, Lies and Spies",20.55,12,Two,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,https://books.toscrape.com//media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,9546d537fbf99eb6,Historical Fiction
A Paris Apartment,39.01,12,Four,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,https://books.toscrape.com//media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,63343e287971bb0c,Historical Fiction
Lilac Girls,17.28,11,Two,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,https://books.toscrape.com//media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,bade9943ee01b63f,Historical Fiction
