Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Security,39.25,16,Two,https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com//media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,6f78a0d744c35456,Horror
Follow You Home,21.36,15,One,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,https://books.toscrape.com//media/cache/a7/4b/a74b35375ce874153fd352e33bc7bac9.jpg,8585760646e3aa2a,Horror
The Loney,23.40,14,One,https://books.toscrape.com/catalogue/the-loney_756/index.html,https://books.toscrape.com//media/cache/6d/10/6d10387a0175701d4ff456a0c7eee67b.jpg,2d88a31f325dfd3b,Horror
Pet Sematary,10.56,14,Three,https://books.toscrape.com/catalogue/pet-sematary_726/index.html,https://books.toscrape.com//media/cache/7a/72/7a72465b21dbf998323e37b31f9a3f4a.jpg,af58a74e4b2a23a0,Horror
Doctor Sleep (The Shining #2),40.12,14,Two,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html,https://books.toscrape.com//media/cache/55/bf/55bfc858c1cb19867e41415532ae43c6.jpg,bf5de316a5e9a4ab,Horror
Psycho: Sanitarium (Psycho #1.5),36.97,12,Five,https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html,https://books.toscrape.com//media/cache/02/5c/025c30a378e2a4190e84f1429e81b803.jpg,b8d7b3f5c7a95d65,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,12,One,https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html,https://books.toscrape.com//media/cache/0b/2f/0b2f432cc27132f688fcdf29618521e0.jpg,d069086944f2e330,Horror
Red Dragon (Hannibal Lecter #1),23.37,5,Three,https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html,https://books.toscrape.com//media/cache/30/66/3066f8bcd2e2ed6b45084355ff084a61.jpg,e958ae92f328c181,Horror
Dracula the Un-Dead,35.63,5,Five,https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html,https://books.toscrape.com//media/cache/13/ff/13fffcde653948339d3427184b7bd0b5.jpg,e46b1074b99ac4b6,Horror
Night Shift (Night Shift #1-20),12.75,4,Four,https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html,https://books.toscrape.com//media/cache/c0/02/c0029d48c2588e6d2a6a31c9f96088ba.jpg,869d20b3b8128230,Horror
Needful Things,47.51,4,Four,https://books.toscrape.com/catalogue/needful-things_334/index.html,https://books.toscrape.com//media/cache/2d/e0/2de0eff716ca13d12cf5420e88e1a8b3.jpg,70b585c9d0f15725,Horror
Misery,34.79,4,Two,https://books.toscrape.com/catalogue/misery_332/index.html,https://books.toscrape.com//media/cache/7c/93/7c9302e392e128881e926d19f761da33.jpg,81d4191030b9704b,Horror
It,25.01,4,Three,https://books.toscrape.com/catalogue/it_330/index.html,https://books.toscrape.com//media/cache/f7/b7/f7b73392b12909a1e8261ef3f96c5fd1.jpg,670a2773607d785d,Horror
'Salem's Lot,49.56,4,Four,https://books.toscrape.com/catalogue/salems-lot_309/index.html,https://books.toscrape.com//media/cache/ee/d3/eed3afc5e444e3da5eec34e2b0036ec7.jpg,6e9403f00acd6752,Horror
The Stand,57.86,3,Two,https://books.toscrape.com/catalogue/the-stand_282/index.html,https://books.toscrape.com//media/cache/3a/7c/3a7c2393061031e7911d7b533b723391.jpg,49f24193f0b961e6,Horror
The Girl with All the Gifts,49.47,3,Three,https://books.toscrape.com/catalogue/the-girl-with-all-the-gifts_250/index.html,https://books.toscrape.com//media/cache/41/c7/41c74d82b853606fe98182c417b4669c.jpg,92dcc54a27107a37,Horror
House of Leaves,54.89,3,One,https://books.toscrape.com/catalogue/house-of-leaves_169/index.html,https://books.toscrape.com//media/cache/14/25/142563ccee483bc07632f9c083a68326.jpg,557c03c284be1bf2,Horror
