Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Long Haul (Diary of a Wimpy Kid #9),44.07,14,One,https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html,https://books.toscrape.com//media/cache/46/bd/46bdee520b8136972262fd040533772d.jpg,f21effc079a2b38a,Humor
Old School (Diary of a Wimpy Kid #10),11.83,14,Five,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html,https://books.toscrape.com//media/cache/df/5d/df5d172abe87deda6d533e3e908d27d8.jpg,02b74068fa98d8a4,Humor
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,14,Four,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,https://books.toscrape.com//media/cache/ea/7b/ea7bcac4b27a5bf6d4f8125bb7af3361.jpg,b8a8ff84233f0570,Humor
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,14,Five,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,https://books.toscrape.com//media/cache/b5/a9/b5a90d1c36a96513942f006345ace3d2.jpg,fbb21a2f71f4d981,Humor
Dress Your Family in Corduroy and Denim,43.68,9,Three,https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html,https://books.toscrape.com//media/cache/df/14/df1418baa09e00b877be35066084c9dc.jpg,7e9068872228c474,Humor
Toddlers Are A**holes: It's Not Your Fault,25.55,7,One,https://books.toscrape.com/catalogue/toddlers-are-aholes-its-not-your-fault_503/index.html,https://books.toscrape.com//media/cache/4c/30/4c3041def6f29659e009f61e45e492b0.jpg,4242cc3d0437db12,Humor
When You Are Engulfed in Flames,30.89,3,Five,https://books.toscrape.com/catalogue/when-you-are-engulfed-in-flames_303/index.html,https://books.toscrape.com//media/cache/73/36/733662595aede2dff1a5be1e76a3b936.jpg,dab0196cd5fc8e5e,Humor
Naked,31.69,3,Three,https://books.toscrape.com/catalogue/naked_197/index.html,https://books.toscrape.com//media/cache/e7/12/e71268a559d73826aa64151d47357a12.jpg,54aeeb4610d3ae08,Humor
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.50,3,Five,https://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html,https://books.toscrape.com//media/cache/a1/03/a10370da29e4ba78c7a75a14041eae0e.jpg,190fbebbf798c31a,Humor
Holidays on Ice,51.07,3,Two,https://books.toscrape.com/catalogue/holidays-on-ice_167/index.html,https://books.toscrape.com//media/cache/4b/9a/4b9a2a6d4c995e12fe216f6173a582be.jpg,0cb4856be3694a57,Humor
