Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Rip it Up and Start Again,35.02,19,Five,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com//media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,a34ba96d4081e6a4,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19,Three,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com//media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,deda3e61b9514b83,Music
How Music Works,37.32,19,Two,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com//media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,327f68a59745c102,Music
Love Is a Mix Tape (Music #1),18.03,14,One,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,https://books.toscrape.com//media/cache/a2/6d/a26d8449abb3381e09126eda5f4e8151.jpg,adb5f51c2e2ab13f,Music
Please Kill Me: The Uncensored Oral History of Punk,31.19,8,Four,https://books.toscrape.com/catalogue/please-kill-me-the-uncensored-oral-history-of-punk_537/index.html,https://books.toscrape.com//media/cache/06/f1/06f185c0be2ad6e2fe059464c03f1b47.jpg,4a823d80aa30dbb0,Music
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,8,Five,https://books.toscrape.com/catalogue/kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html,https://books.toscrape.com//media/cache/85/42/8542841f5644a6daf433504f1e106e97.jpg,39eefec3a8498dde,Music
"Chronicles, Vol. 1",52.60,7,Two,https://books.toscrape.com/catalogue/chronicles-vol-1_462/index.html,https://books.toscrape.com//media/cache/11/fc/11fc94453c4dc0d68543971d7843afb0.jpg,4781b6bfd6f7a2c5,Music
This Is Your Brain on Music: The Science of a Human Obsession,38.40,5,One,https://books.toscrape.com/catalogue/this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html,https://books.toscrape.com//media/cache/35/a4/35a4a7c6c76c4e82186753078e441654.jpg,bc209a900101f28d,Music
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,4,Three,https://books.toscrape.com/catalogue/orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html,https://books.toscrape.com//media/cache/15/de/15de75548ee9a4c6be1420ee309c03e0.jpg,2ba5ccc84d35006c,Music
No One Here Gets Out Alive,20.02,4,Five,https://books.toscrape.com/catalogue/no-one-here-gets-out-alive_336/index.html,https://books.toscrape.com//media/cache/7a/7e/7a7eb52e7075a5305522948375c1316e.jpg,3a95f5a2df4ff921,Music
Life,31.58,2,Five,https://books.toscrape.com/catalogue/life_104/index.html,https://books.toscrape.com//media/cache/99/97/9997eda658c2fe50e724171f9c2a2b0b.jpg,637e5a45062aa548,Music
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,1,Two,https://books.toscrape.com/catalogue/old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past_39/index.html,https://books.toscrape.com//media/cache/7e/94/7e947f3dd04f178175b85123829467a9.jpg,a1985630339f4b3d,Music
Forever Rockers (The Rocker #12),28.80,1,Three,https://books.toscrape.com/catalogue/forever-rockers-the-rocker-12_19/index.html,https://books.toscrape.com//media/cache/7f/b0/7fb03a053c270000667a50dd8d594843.jpg,e564c3f1a93ccf2e,Music
