Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Sharp Objects,47.82,20,Four,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com//media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,e00eb4fd7b871a48,Mystery
"In a Dark, Dark Wood",19.63,18,One,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com//media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,19ed25f4641d5efd,Mystery
The Past Never Ends,56.50,16,Four,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com//media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,5ee94540d0749ea0,Mystery
A Murder in Time,16.64,16,One,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com//media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,f733e8c19d40ec2e,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,15,Four,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com//media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,c7b5183f4d1d4efe,Mystery
The Last Mile (Amos Decker #2),54.21,14,Two,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com//media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,3bc89353f7e3a3cc,Mystery
That Darkness (Gardiner and Renner #1),13.92,14,One,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com//media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,0c7b9cf2b7662b65,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,14,One,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com//media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,2d1e337aaf341858,Mystery
A Time of Torment (Charlie Parker #14),48.35,14,Five,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com//media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,4416c474713ec1f5,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,14,Two,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com//media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,63ee5bc46066a8a8,Mystery
Poisonous (Max Revere Novels #3),26.80,12,Three,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com//media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,abdd91e96515a617,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,12,Four,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com//media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,e7fe3bf2768602cf,Mystery
Most Wanted,35.28,12,Three,https://books.toscrape.com/catalogue/most-wanted_623/index.html,https://books.toscrape.com//media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,c039f5aceb093537,Mystery
Hide Away (Eve Duncan #20),11.84,12,One,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com//media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,bddc6fd036eb6279,Mystery
Boar Island (Anna Pigeon #19),59.48,12,Three,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com//media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,49b24c6a41b82bd2,Mystery
The Widow,27.26,11,Two,https://books.toscrape.com/catalogue/the-widow_609/index.html,https://books.toscrape.com//media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,6159d8b187831770,Mystery
Playing with Fire,13.71,11,Three,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,https://books.toscrape.com//media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,05a61a3bd8ca4149,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,7,Five,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com//media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,9735c969c652dd89,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.30,7,Five,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com//media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,20789fb17b423c4c,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,7,Four,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com//media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,4e980425468708da,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.80,6,Four,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,https://books.toscrape.com//media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,2da5edf8b5776c9a,Mystery
In the Woods (Dublin Murder Squad #1),38.38,6,Two,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,https://books.toscrape.com//media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,6958de044cb28a84,Mystery
The Silkworm (Cormoran Strike #2),23.05,3,Five,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,https://books.toscrape.com//media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,f06039c29b5891fa,Mystery
The Exiled,43.45,3,Three,https://books.toscrape.com/catalogue/the-exiled_247/index.html,https://books.toscrape.com//media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,dd003e904727281a,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,3,One,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,https://books.toscrape.com//media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,1be6d3b121865edb,Mystery
Extreme Prey (Lucas Davenport #26),25.40,3,Three,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,https://books.toscrape.com//media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,588ba85ff11a3263,Mystery
Career of Evil (Cormoran Strike #3),24.72,3,Two,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,https://books.toscrape.com//media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,b461cf238506c5b8,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.70,1,Four,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,https://books.toscrape.com//media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,b0913e67d38d5ed5,Mystery
The Girl You Lost,12.29,1,Five,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,https://books.toscrape.com//media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,4280ac3eab57aa5d,Mystery
