Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,18,Five,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com//media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,4c28def39d850cdf,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,18,Three,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com//media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,3c039985229453bf,Nonfiction
Reasons to Stay Alive,26.41,17,Two,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com//media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,c8f7f0cb1abb9cac,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,17,Five,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com//media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,c27f6e1f185b0383,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,16,Four,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com//media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,d170b5a0da46380e,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,16,Three,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com//media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,7858914fad68493c,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,16,Three,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com//media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,0da9aa9d24677fc0,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,16,One,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com//media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,acd86a5426e21ca0,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,16,One,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com//media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,a30b270e25489e5c,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,16,Four,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com//media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,87b0615b6e1f4d7b,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,16,Two,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com//media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,d7310206583a54b6,Nonfiction
In the Country We Love: My Family Divided,22.00,16,Four,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,https://books.toscrape.com//media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg,b136b1b180ca753a,Nonfiction
