Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Sophie's World,15.94,18,Five,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com//media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,6be3beb0793a53e7,Philosophy
The Death of Humanity: and the Case for Life,58.11,16,Four,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com//media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,bd261725b99f5983,Philosophy
The Stranger,17.44,15,Four,https://books.toscrape.com/catalogue/the-stranger_861/index.html,https://books.toscrape.com//media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,f5a92cff83897d48,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,8,One,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,https://books.toscrape.com//media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg,d56d0710668bb39c,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13,8,One,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,https://books.toscrape.com//media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg,0cf57cb49272fd37,Philosophy
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,7,Five,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,https://books.toscrape.com//media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg,6b52904b2ab91bf6,Philosophy
Critique of Pure Reason,20.75,5,One,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,https://books.toscrape.com//media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg,429b4a811bef386c,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,2,One,https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,https://books.toscrape.com//media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg,b0e479be03911916,Philosophy
The Nicomachean Ethics,36.34,1,One,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,https://books.toscrape.com//media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,5c10b64db3e4f228,Philosophy
Meditations,25.89,1,Two,https://books.toscrape.com/catalogue/meditations_33/index.html,https://books.toscrape.com//media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,4f19709e47883df5,Philosophy
Beyond Good and Evil,43.38,1,One,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,https://books.toscrape.com//media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg,08672cd59171d5e4,Philosophy
