Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
A Light in the Attic,51.77,22,Three,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com//media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,a897fe39b1053632,Poetry
The Black Maria,52.15,19,One,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com//media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,1dfe412b8ac00530,Poetry
Shakespeare's Sonnets,20.66,19,Four,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com//media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,30a7f60cd76ca58c,Poetry
Olio,23.88,19,One,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com//media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,feb7cc7701ecf901,Poetry
You can't bury them all: Poems,33.63,17,Two,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com//media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,55f9da0c5eea2e10,Poetry
Slow States of Collapse: Poems,57.31,17,Three,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com//media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,b4fd5943413e089a,Poetry
Untitled Collection: Sabbath Poems 2014,14.27,16,Four,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com//media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,657fe5ead67a7767,Poetry
Poems That Make Grown Women Cry,14.19,15,Four,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,https://books.toscrape.com//media/cache/38/64/386468a8c3e6b880664bf7885bf6f726.jpg,31001a1210623bd4,Poetry
Night Sky with Exit Wounds,41.05,15,One,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,https://books.toscrape.com//media/cache/25/54/2554431c797ec725eea50b3f8a83758c.jpg,cfeb1e1e0e695b58,Poetry
salt.,46.78,14,Four,https://books.toscrape.com/catalogue/salt_731/index.html,https://books.toscrape.com//media/cache/3f/41/3f4160ada0b16e3c64cd2d0dffe781c8.jpg,86cbddb61ea78bb7,Poetry
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,14,Five,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,https://books.toscrape.com//media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,aa35446aab16017f,Poetry
Out of Print: City Lights Spotlight No. 14,53.64,8,Five,https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html,https://books.toscrape.com//media/cache/93/d5/93d5c64abfad9ed6a0cb2e26f19f1a1e.jpg,c0fc0cd215ee1724,Poetry
Les Fleurs du Mal,29.04,8,Five,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html,https://books.toscrape.com//media/cache/36/5b/365b3ab7ab72a6258873716aef6d5c1a.jpg,c44c5e1425475206,Poetry
Howl and Other Poems,40.45,8,Two,https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html,https://books.toscrape.com//media/cache/b7/29/b7293f602efb0c17e305077f8175888a.jpg,b7870fa6dc088fbb,Poetry
Leave This Song Behind: Teen Poetry at Its Best,51.17,7,Five,https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html,https://books.toscrape.com//media/cache/31/c7/31c7c5ce7b04d227aa36ecb250b9dad5.jpg,b74ee891e2a6dd69,Poetry
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,6,Five,https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,https://books.toscrape.com//media/cache/7e/93/7e934132cd03486649fb492fe702f704.jpg,3d250ab0f12be445,Poetry
The Crossover,38.77,5,Four,https://books.toscrape.com/catalogue/the-crossover_398/index.html,https://books.toscrape.com//media/cache/9f/35/9f351ca1978128c60a3b7f85987075b3.jpg,b228042c088b1913,Poetry
Booked,17.49,5,Five,https://books.toscrape.com/catalogue/booked_365/index.html,https://books.toscrape.com//media/cache/8f/46/8f46bb13feb3a4440a27dfcf688fbaa6.jpg,b54d7416bb445989,Poetry
Twenty Love Poems and a Song of Despair,30.95,1,Four,https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html,https://books.toscrape.com//media/cache/df/ab/dfab1d94f9190df7c13b63a093a6d16e.jpg,e63c3f25338baf9a,Poetry
