Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,16,Four,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com//media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,aadee1c326d286e3,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,16,Five,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,https://books.toscrape.com//media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg,e4f74c16de34d440,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,14,Four,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,https://books.toscrape.com//media/cache/68/ca/68caaf9ac41964d5167a3eb67c638393.jpg,3edcccc4f341fb1a,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,12,One,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,https://books.toscrape.com//media/cache/56/97/5697f2f8f628129df01c5790985ffd9b.jpg,148715df5a02ea5e,Science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,9,One,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html,https://books.toscrape.com//media/cache/5e/7f/5e7f7d9913d4c95d33904770c518d537.jpg,ca74f2e3c35a3e77,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,8,One,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,https://books.toscrape.com//media/cache/33/4f/334fd0ebdf0c0192baf5914d199c53b5.jpg,0c11e2d068768dbb,Science
The Origin of Species,10.01,7,Four,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html,https://books.toscrape.com//media/cache/da/0d/da0d13699a090516502257a4d7da623f.jpg,0345872b14f9e774,Science
The Grand Design,13.76,5,Three,https://books.toscrape.com/catalogue/the-grand-design_405/index.html,https://books.toscrape.com//media/cache/08/a9/08a957eb34f8047862e225774c3bdde2.jpg,3213b1f13f5f0f7c,Science
Peak: Secrets from the New Science of Expertise,16.28,5,Two,https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html,https://books.toscrape.com//media/cache/83/ab/83ab65f938b24fa1a9cb47235be49b57.jpg,6036239d2ab349b7,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,3,Four,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html,https://books.toscrape.com//media/cache/69/c8/69c83860995cde393dbe6690ec3f1d4f.jpg,c6bf14cb901c63ac,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,3,Five,https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html,https://books.toscrape.com//media/cache/f9/69/f969969428b505970a46272fdcea00d3.jpg,63c0826ef59eae66,Science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,3,Two,https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html,https://books.toscrape.com//media/cache/f8/bc/f8bcd489d33473e0819beaecccd5ebac.jpg,61002f3b7ba5d780,Science
Seven Brief Lessons on Physics,30.60,3,Four,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html,https://books.toscrape.com//media/cache/c8/63/c863c222c130a1bc8685a1242dd2523d.jpg,281a244ce1954711,Science
The Selfish Gene,29.45,1,One,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html,https://books.toscrape.com//media/cache/08/14/0814f26516fb72b7391d0a742b5928a2.jpg,6f2c0a9adbb2bca9,Science
