Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,Five,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com//media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,3b1c02bac2a429e6,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16,One,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com//media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,09555be379ad9253,Sequential Art
This One Summer,19.49,16,Four,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com//media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,51653ef291ab7ddc,Sequential Art
The Nameless City (The Nameless City #1),38.16,16,Four,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com//media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,7d385d34d12e60ff,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,16,Two,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com//media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,53a3d11bb568cc8b,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,16,Three,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com//media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,c82a3e358c773c73,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,16,Five,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com//media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,0fa6dceead7ce47a,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,16,One,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com//media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,e80f8e518b300dfe,Sequential Art
Patience,10.16,16,Three,https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com//media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,9429b4d59c537af5,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,16,Four,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com//media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,889139b8e9c4cb36,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,16,One,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,https://books.toscrape.com//media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,11809b1d323b3057,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,16,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,https://books.toscrape.com//media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,460089f796fb3f82,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,16,Three,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,https://books.toscrape.com//media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,b6ee99bcf06fc91f,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,16,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,https://books.toscrape.com//media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,57e5a4d515c8ce44,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,16,Two,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,https://books.toscrape.com//media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,8d4eefad7a2b3915,Sequential Art
I am a Hero Omnibus Volume 1,54.63,16,Three,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,https://books.toscrape.com//media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,1c89ae5bb804e4de,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,16,Two,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,https://books.toscrape.com//media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,f2df3bb043a8abb0,Sequential Art
Danganronpa Volume 1,51.99,16,Four,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,https://books.toscrape.com//media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,09b6cc87e62c2c58,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,16,Four,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,https://books.toscrape.com//media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,8754c83ab2a7ae71,Sequential Art
Camp Midnight,17.08,16,Four,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,https://books.toscrape.com//media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,7b599c8bfcdd8d30,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,16,Two,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,https://books.toscrape.com//media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,bdf415fd484ea8a7,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,15,One,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,https://books.toscrape.com//media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg,d6361d16212664ed,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,15,Four,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,https://books.toscrape.com//media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg,65d034adf80834b7,Sequential Art
Batman: The Long Halloween (Batman),36.50,15,Two,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html,https://books.toscrape.com//media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg,7edc0527cf782e19,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,15,Five,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html,https://books.toscrape.com//media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg,47271d8e08b5d31c,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,14,Four,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,https://books.toscrape.com//media/cache/19/39/19396172462f4cc0504d4e6e8b0e1647.jpg,047097293bb4d1c0,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,14,One,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,https://books.toscrape.com//media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg,92275cedf6d8ee15,Sequential Art
Through the Woods,25.38,14,Two,https://books.toscrape.com/catalogue/through-the-woods_772/index.html,https://books.toscrape.com//media/cache/4c/af/4caf8f2a5ee8828d408cc8faadd3419c.jpg,6e44bcbeac7f4360,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,14,Five,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,https://books.toscrape.com//media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg,ac8e3949d284e9a9,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,14,Four,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,https://books.toscrape.com//media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg,394f6d30cafc3edb,Sequential Art
Robin War,47.82,14,Three,https://books.toscrape.com/catalogue/robin-war_730/index.html,https://books.toscrape.com//media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg,85b2176b3b194030,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,14,Two,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,https://books.toscrape.com//media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg,31e2e2d9cca3778f,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,14,Two,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,https://books.toscrape.com//media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg,71e36f33981ddb74,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,14,Two,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,https://books.toscrape.com//media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg,a10c7515834240f3,Sequential Art
El Deafo,57.62,14,Five,https://books.toscrape.com/catalogue/el-deafo_691/index.html,https://books.toscrape.com//media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,27c5968fe43cc06e,Sequential Art
Batman: Europa,32.01,14,Two,https://books.toscrape.com/catalogue/batman-europa_668/index.html,https://books.toscrape.com//media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg,bf68dcb5fad3cc8c,Sequential Art
Art Ops Vol. 1,48.80,14,Three,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html,https://books.toscrape.com//media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg,ffdc825785c0ede8,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,14,Two,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,https://books.toscrape.com//media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg,5319169a72714c62,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,9,Four,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html,https://books.toscrape.com//media/cache/7c/ea/7cea6ff4f6f1427739b136db35fbfad4.jpg,97187f5cf0385da3,Sequential Art
