Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
In Her Wake,12.84,19,One,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com//media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,23356462d1320d61,Thriller
The Elephant Tree,23.82,18,Five,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com//media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,5dada2b7be26bd03,Thriller
Behind Closed Doors,52.22,18,Four,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com//media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,be5cc846f45496fb,Thriller
You (You #1),43.61,14,Five,https://books.toscrape.com/catalogue/you-you-1_784/index.html,https://books.toscrape.com//media/cache/d6/97/d697268540fa982f4dce39f61ed3a342.jpg,024387ca4cafd5cc,Thriller
The Guilty (Will Robie #4),13.82,14,Two,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,https://books.toscrape.com//media/cache/76/de/76deee06ffe45e646c0113af01f4f401.jpg,847935fc68707426,Thriller
The 14th Colony (Cotton Malone #11),39.24,14,One,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html,https://books.toscrape.com//media/cache/d9/1a/d91aae72af6c1cb2c63163acabe7895c.jpg,1b8187fa4bf6ab05,Thriller
Give It Back,18.32,6,Two,https://books.toscrape.com/catalogue/give-it-back_430/index.html,https://books.toscrape.com//media/cache/8b/7c/8b7c73e075cc687b6890dc0dca9fcbcc.jpg,012170e4fc87ace0,Thriller
Killing Floor (Jack Reacher #1),31.49,5,Four,https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html,https://books.toscrape.com//media/cache/eb/e9/ebe9f06ccebf83d9853a846052b58fff.jpg,8dde2ff3f6fcc0a3,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,4,Three,https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html,https://books.toscrape.com//media/cache/ee/d4/eed4d5d63d13f0aa86575c90f8ccacb7.jpg,9c4d061c1e2fe6bf,Thriller
Far From True (Promise Falls Trilogy #2),34.93,4,Two,https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html,https://books.toscrape.com//media/cache/87/54/8754267f27581996f93e8d94d3c04bf9.jpg,ad15a9a139919918,Thriller
The Travelers,15.77,3,One,https://books.toscrape.com/catalogue/the-travelers_285/index.html,https://books.toscrape.com//media/cache/2a/a8/2aa8afd15f97617ab75f616766161cda.jpg,2b685187f55c5d31,Thriller
