Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,15,Four,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,https://books.toscrape.com//media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg,fd8585283fc7d2d7,Womens Fiction
Will You Won't You Want Me?,13.86,12,Three,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html,https://books.toscrape.com//media/cache/16/e3/16e3ca741956485119251e7442a67e2e.jpg,077b635ff2afc578,Womens Fiction
Keep Me Posted,20.46,11,Four,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html,https://books.toscrape.com//media/cache/ae/ac/aeac003461b89c7ef826251d940b2afc.jpg,20dc4f1ac5d4fd9c,Womens Fiction
Grey (Fifty Shades #4),48.49,11,Four,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html,https://books.toscrape.com//media/cache/bb/ee/bbeeab4c4ce572c0e9764e3a96c6d4a5.jpg,b5953ca1f8a0b8d7,Womens Fiction
Meternity,43.58,7,Three,https://books.toscrape.com/catalogue/meternity_478/index.html,https://books.toscrape.com//media/cache/39/e3/39e33ebef2d7a35dd6899541eba8306d.jpg,725cd8d23d78cdca,Womens Fiction
Some Women,13.73,4,Five,https://books.toscrape.com/catalogue/some-women_341/index.html,https://books.toscrape.com//media/cache/27/b7/27b7f4ec590965b5acc15dc4b1376684.jpg,31f5bbf4974d29c9,Womens Fiction
Shopaholic Ties the Knot (Shopaholic #3),48.39,4,Five,https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html,https://books.toscrape.com//media/cache/ac/ba/acba5e4e1813b8c1fff4890f1efef3ab.jpg,38199c5d7da0c0ef,Womens Fiction
Can You Keep a Secret?,21.94,4,One,https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html,https://books.toscrape.com//media/cache/72/73/7273ff1bfe3b0a6aab7f54ddf9be7b44.jpg,0812f54c93d726ce,Womens Fiction
Twenties Girl,42.80,3,Two,https://books.toscrape.com/catalogue/twenties-girl_292/index.html,https://books.toscrape.com//media/cache/a0/fa/a0fa38039f6a674a7c89dfe2be866259.jpg,8ebad30219b8679c,Womens Fiction
The Undomestic Goddess,45.75,3,Four,https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html,https://books.toscrape.com//media/cache/13/8f/138f4cf84be250d08e1f5c1db3643dbc.jpg,813cff2aefa5d1f0,Womens Fiction
The Nanny Diaries (Nanny #1),52.53,3,Five,https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html,https://books.toscrape.com//media/cache/63/5f/635fb981e464f7427787824b20a15e71.jpg,6263c1d2997b8ce0,Womens Fiction
The Devil Wears Prada (The Devil Wears Prada #1),44.29,3,One,https://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,https://books.toscrape.com//media/cache/87/d3/87d34d376555dd0cb75030d1059cc144.jpg,a6ab0cb7106a67f2,Womens Fiction
Something Borrowed (Darcy & Rachel #1),48.96,3,Five,https://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html,https://books.toscrape.com//media/cache/6d/6d/6d6d5799190b4f9ef89f3bbc8b67d60d.jpg,ac27ab4bcd9c492e,Womens Fiction
Something Blue (Darcy & Rachel #2),54.62,3,One,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html,https://books.toscrape.com//media/cache/72/f5/72f5ed312bc82afa386c9cd48d4e36dd.jpg,3fc9d51d1c4d6ba7,Womens Fiction
I've Got Your Number,19.69,3,One,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html,https://books.toscrape.com//media/cache/b2/df/b2df826432771838819db89c20e20609.jpg,6b32b561dab8036c,Womens Fiction
The Edge of Reason (Bridget Jones #2),19.18,1,Four,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html,https://books.toscrape.com//media/cache/db/34/db341aa83daa76cd9f9bd2c86ccb5dba.jpg,29fc016c459aeb14,Womens Fiction
Bridget Jones's Diary (Bridget Jones #1),29.82,1,One,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html,https://books.toscrape.com//media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg,a2b4b685dfa94733,Womens Fiction
