Title,Price,Availability,Rating,Product URL,Image URL,UPC,Category
The Requiem Red,22.65,19,One,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com//media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,f77dbf2323deb740,Young Adult
Set Me Free,17.46,19,Five,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com//media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,ce6396b0f23f6ecc,Young Adult
The Natural History of Us (The Fine Art of Pretending #2),45.22,16,Three,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,https://books.toscrape.com//media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,cedf82b5086e4691,Young Adult
Obsidian (Lux #1),14.86,16,Two,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,https://books.toscrape.com//media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,3c346ab1e76ae1f6,Young Adult
Burning,28.81,16,Three,https://books.toscrape.com/catalogue/burning_884/index.html,https://books.toscrape.com//media/cache/26/95/269507c7bb35d2cec9b61a03d1c28e67.jpg,5ceb951f629700a2,Young Adult
A Fierce and Subtle Poison,28.13,16,Four,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,https://books.toscrape.com//media/cache/12/f1/12f1963957f27fa83d51f76b183ef490.jpg,842790dfaa937484,Young Adult
Scarlett Epstein Hates It Here,43.55,15,Five,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,https://books.toscrape.com//media/cache/0f/d3/0fd306891f8fd3196653022fd67d6c87.jpg,1c929cfd16b71907,Young Adult
"Nightingale, Sing",38.28,15,One,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,https://books.toscrape.com//media/cache/18/08/18086e581ad354aa65f945c2b5c51350.jpg,50b8f80311b31ede,Young Adult
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,15,Five,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,https://books.toscrape.com//media/cache/f8/54/f85417465a73e33604624205ba8306cc.jpg,ba54932df84e8cea,Young Adult
Frostbite (Vampire Academy #2),29.99,15,Five,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,https://books.toscrape.com//media/cache/71/76/7176317f1915fa0658bb2fe400441207.jpg,116a2fdc9a45bab0,Young Adult
Wild Swans,14.36,14,Two,https://books.toscrape.com/catalogue/wild-swans_782/index.html,https://books.toscrape.com//media/cache/bb/72/bb723ad463531c602ad8bcb244253bf3.jpg,3fb15ace50d6142b,Young Adult
Until Friday Night (The Field Party #1),46.31,14,Two,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html,https://books.toscrape.com//media/cache/19/cf/19cf50aea5bf0e8f4bc016f3745b3dfe.jpg,aba2db9afb1469c7,Young Adult
This Is Where It Ends,27.12,14,Two,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html,https://books.toscrape.com//media/cache/18/0b/180bfe1902cb3c0eb77d7c712efa2a96.jpg,f0f38174a7e689a3,Young Adult
The Darkest Lie,35.35,14,Five,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html,https://books.toscrape.com//media/cache/1d/3c/1d3c05b772ab846c111970232360d2c5.jpg,6edacfd1f8ebb9eb,Young Adult
My Kind of Crazy,40.36,14,One,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,https://books.toscrape.com//media/cache/46/6e/466e9636819aad1126ac6cefb5313ba8.jpg,137b0b2775701e11,Young Adult
